EOD38665	EMIHUDRAFT_373055		EMIHUDRAFT_373055-1	AHAL01009601	6435	6974	-
EOD38666	EMIHUDRAFT_420053		EMIHUDRAFT_420053-1	AHAL01009601	8098	9899	+
EOD41995	EMIHUDRAFT_447539		EMIHUDRAFT_447539-1	EMIHUscaffold_1	2312760	2319439	+
EOD41518	EMIHUDRAFT_193847		EMIHUDRAFT_193847-1	EMIHUscaffold_1	379278	380135	-
EOD41807	EMIHUDRAFT_95028		EMIHUDRAFT_95028-1	EMIHUscaffold_1	1544721	1550257	+
EOD42150	EMIHUDRAFT_194900		EMIHUDRAFT_194900-1	EMIHUscaffold_1	2909860	2910588	+
EOD42109	EMIHUDRAFT_194829		EMIHUDRAFT_194829-1	EMIHUscaffold_1	2724048	2724413	+
EOD41616	EMIHUDRAFT_193998		EMIHUDRAFT_193998-1	EMIHUscaffold_1	748328	749987	+
EOD41685	EMIHUDRAFT_431769		EMIHUDRAFT_431769-1	EMIHUscaffold_1	1030532	1031278	-
EOD41600	EMIHUDRAFT_193978		EMIHUDRAFT_193978-1	EMIHUscaffold_1	698870	699658	+
EOD41686	EMIHUDRAFT_94920		EMIHUDRAFT_94920-1	EMIHUscaffold_1	1032191	1034941	-
EOD41818	EMIHUDRAFT_194354		EMIHUDRAFT_194354-1	EMIHUscaffold_1	1592788	1593579	+
EOD41990	EMIHUDRAFT_194646		EMIHUDRAFT_194646-1	EMIHUscaffold_1	2299604	2300815	+
EOD41895	EMIHUDRAFT_47730		EMIHUDRAFT_47730-1	EMIHUscaffold_1	1880517	1881093	+
EOD41693	EMIHUDRAFT_194125		EMIHUDRAFT_194125-1	EMIHUscaffold_1	1059500	1061385	-
EOD41784	EMIHUDRAFT_56553		EMIHUDRAFT_56553-1	EMIHUscaffold_1	1447859	1448290	-
EOD41819	EMIHUDRAFT_95037		EMIHUDRAFT_95037-1	EMIHUscaffold_1	1593747	1595125	-
EOD41732	EMIHUDRAFT_94965		EMIHUDRAFT_94965-1	EMIHUscaffold_1	1242167	1244269	+
EOD42148	EMIHUDRAFT_60965		EMIHUDRAFT_60965-1	EMIHUscaffold_1	2899735	2899959	+
